perception_lower_resolution,distance_travelled,S_A_response_time_calculated_from_imgPublisher,S_A_latency,planning_smoothening_failure_rate,smoothening_budget,experiment_number,piecewise_planning_budget,planning_piecewise_failure_rate,flight_time,
0.3,0.200212,-999,-999,0.0,0.1,1.0,0.1,1.0,583.722,
0.3,0.200321,-999,-999,0.0,0.1,2.0,0.1,1.0,583.914,
0.3,0.200087,-999,-999,0.0,0.1,3.0,0.1,1.0,617.266,
0.3,709.139,2.406743,1.372385,0.086957,0.3,4.0,0.3,0.434783,433.785,
0.3,929.83,2.303736,1.452434,0.166667,0.3,5.0,0.3,0.333333,532.331,
0.3,437.973,4.473308,1.366361,0.03125,0.3,6.0,0.3,0.84375,584.037,
0.3,534.41,3.095257,1.641483,0.088889,0.5,7.0,0.5,0.622222,417.21,
0.3,537.064,2.383202,1.60716,0.083333,0.5,8.0,0.5,0.25,447.25,
0.3,581.165,2.431505,1.615614,0.0,0.5,9.0,0.5,0.538462,378.839,
0.3,595.189,3.470942,2.064685,0.0,0.9,10.0,0.9,0.363636,383.816,
0.3,596.079,3.444164,2.281688,0.1,0.9,11.0,0.9,0.0,393.878,
0.3,509.424,3.218901,2.087376,0.166667,0.9,12.0,0.9,0.0,378.671,
0.3,556.567,3.739558,2.52783,0.153846,1.2,13.0,1.2,0.0,442.305,
0.3,656.706,3.863589,2.415605,0.064516,1.2,14.0,1.2,0.258065,462.307,
0.3,559.231,3.686173,2.538975,0.0625,1.2,15.0,1.2,0.0,428.781,
0.3,566.142,4.327706,2.969779,0.125,1.5,16.0,1.5,0.0625,452.179,
0.3,695.158,5.294346,2.943713,0.333333,1.5,17.0,1.5,0.0,348.913,
0.3,530.323,4.410722,2.898316,0.181818,1.5,18.0,1.5,0.0,408.675,
0.5,527.855,1.214562,0.722591,0.083333,0.1,19.0,0.1,0.083333,437.286,
0.5,520.547,1.262504,0.735046,0.090909,0.1,20.0,0.1,0.272727,408.831,
0.5,921.0,1.467065,0.752527,0.384615,0.1,21.0,0.1,0.0,478.807,
0.5,912.187,1.55989,0.995583,0.0,0.3,22.0,0.3,0.0,532.487,
0.5,578.106,1.480501,1.015751,0.153846,0.3,23.0,0.3,0.0,418.635,
0.5,544.296,1.467714,0.983001,0.166667,0.3,24.0,0.3,0.0,418.722,
0.5,544.646,1.809434,1.257751,0.125,0.5,25.0,0.5,0.0,398.586,
0.5,518.11,1.944509,1.325646,0.277778,0.5,26.0,0.5,0.0,388.829,
