distance_travelled,flight_time,piecewise_planning_budget,perception_resolution,smoothening_budget,experiment_number,S_A_latency,S_A_response_time_calculated_from_imgPublisher,planning_piecewise_failure_rate,planning_smoothening_failure_rate,RRT_path_length_normalized_to_direct_path,
0.200378,583.83,0.1,0.3,0.1,1.0,inf,inf,1.0,0.0,inf,
0.200321,617.506,0.1,0.3,0.1,2.0,inf,inf,1.0,0.0,inf,
0.200472,617.557,0.1,0.3,0.1,3.0,inf,inf,1.0,0.0,inf,
526.252,408.771,0.3,0.3,0.3,4.0,1.23156,1.804026,0.4375,0.0625,1.008512,
705.205,457.267,0.3,0.3,0.3,5.0,1.336618,1.99056,0.458333,0.083333,1.007575,
524.713,413.877,0.3,0.3,0.3,6.0,1.223739,1.845867,0.411765,0.117647,1.006203,
527.337,378.788,0.5,0.3,0.5,7.0,1.545903,2.456346,0.142857,0.285714,1.002316,
762.302,453.766,0.5,0.3,0.5,8.0,1.679305,2.42231,0.066667,0.133333,1.011917,
616.982,447.256,0.5,0.3,0.5,9.0,1.56792,2.27363,0.357143,0.071429,1.012243,
638.081,473.761,0.9,0.3,0.9,10.0,2.008263,2.951707,0.086957,0.086957,1.01643,
527.515,417.474,0.9,0.3,0.9,11.0,2.05763,2.895689,inf,inf,inf,
557.011,433.662,0.9,0.3,0.9,12.0,2.092572,3.163273,0.086957,0.217391,1.015319,
517.119,378.686,1.2,0.3,1.2,13.0,2.353214,3.378156,0.0,0.166667,0.999756,
737.838,522.347,1.2,0.3,1.2,14.0,2.201041,3.820654,0.384615,0.115385,1.018015,
609.188,433.776,1.2,0.3,1.2,15.0,2.415541,4.027219,0.125,0.25,1.008371,
627.342,428.841,1.5,0.3,1.5,16.0,2.767907,4.01172,0.0,0.1,1.025096,
920.137,568.929,1.5,0.3,1.5,17.0,2.724241,4.151315,0.0,0.095238,1.011516,
534.484,408.78,1.5,0.3,1.5,18.0,2.688356,4.039265,0.0,0.1,1.005892,
644.209,522.434,0.1,0.5,0.1,19.0,0.395778,0.585824,inf,inf,inf,
542.216,437.373,0.1,0.5,0.1,20.0,0.42146,0.640614,inf,inf,inf,
564.166,473.854,0.1,0.5,0.1,21.0,0.40437,0.578141,0.090909,0.318182,1.014148,
656.176,457.471,0.3,0.5,0.3,22.0,0.648924,1.004853,inf,inf,inf,
570.256,413.859,0.3,0.5,0.3,23.0,0.628519,0.841624,0.0,0.166667,1.008551,
543.849,408.879,0.3,0.5,0.3,24.0,0.61765,0.808387,0.0,0.1,1.003211,
741.809,467.359,0.5,0.5,0.5,25.0,0.850232,1.657836,inf,inf,inf,
511.522,383.684,0.5,0.5,0.5,26.0,0.845148,1.1023,0.0,0.142857,1.006503,
573.81,423.774,0.5,0.5,0.5,27.0,0.916764,1.35973,0.0,0.272727,1.00387,
531.558,418.764,0.9,0.5,0.9,28.0,1.340925,1.829177,0.0,0.181818,1.006388,
603.227,452.365,0.9,0.5,0.9,29.0,1.27665,1.682728,inf,inf,inf,
679.434,422.277,0.9,0.5,0.9,30.0,1.507182,2.43535,0.0,0.384615,1.009431,
564.915,433.749,1.2,0.5,1.2,31.0,1.770137,2.86012,0.0,0.263158,1.014625,
815.121,517.421,1.2,0.5,1.2,32.0,1.691553,2.38691,inf,inf,inf,
608.357,433.773,1.2,0.5,1.2,33.0,1.690768,2.81631,0.0,0.266667,1.032461,
534.817,358.994,1.5,0.5,1.5,34.0,1.984968,2.539329,0.0,0.125,1.003439,
655.658,442.473,1.5,0.5,1.5,35.0,2.063946,3.421581,0.0,0.230769,1.003517,
922.995,602.419,1.5,0.5,1.5,36.0,1.991113,2.842179,inf,inf,inf,
551.702,478.864,0.1,0.7,0.1,37.0,0.298649,0.57825,0.0,0.571429,1.002766,
560.423,417.267,0.1,0.7,0.1,38.0,0.301151,0.576157,0.0,0.578947,1.002883,
666.026,457.372,0.1,0.7,0.1,39.0,0.297488,0.745388,inf,inf,inf,
582.897,432.276,0.3,0.7,0.3,40.0,0.549743,0.868412,0.0,0.333333,1.009678,
565.708,388.787,0.3,0.7,0.3,41.0,0.557352,0.871599,0.0,0.3,1.002416,
564.401,437.373,0.3,0.7,0.3,42.0,0.561696,0.872139,0.0,0.357143,1.007633,
569.423,448.861,0.5,0.7,0.5,43.0,0.773614,1.256051,0.0,0.291667,1.008853,
894.558,498.659,0.5,0.7,0.5,44.0,0.682083,1.156866,0.771429,0.014286,1.016431,
518.874,383.777,0.5,0.7,0.5,45.0,0.747951,0.950872,0.0,0.125,1.00772,
638.816,463.84,0.9,0.7,0.9,46.0,1.234777,2.028651,0.227273,0.136364,1.015979,
622.737,398.763,0.9,0.7,0.9,47.0,1.226454,1.823598,0.0,0.142857,1.001038,
523.326,383.792,0.9,0.7,0.9,48.0,1.225791,1.669424,0.0,0.166667,1.003696,
532.148,408.984,1.2,0.7,1.2,49.0,1.511801,2.18808,0.0,0.166667,1.010035,
666.809,428.871,1.2,0.7,1.2,50.0,1.620766,2.532194,0.0,0.227273,1.015004,
691.601,418.77,1.2,0.7,1.2,51.0,1.659797,2.379109,0.0,0.214286,1.009577,
652.357,378.587,1.5,0.7,1.5,52.0,1.950046,2.644834,0.0,0.166667,1.007422,
638.274,473.857,1.5,0.7,1.5,53.0,2.0426,3.712627,0.173913,0.26087,1.024698,
745.647,558.711,1.5,0.7,1.5,54.0,2.011298,4.535068,0.181818,0.363636,1.009067,
523.794,393.779,0.1,0.9,0.1,55.0,0.276664,0.53034,0.0,0.538462,1.000764,
579.848,458.569,0.1,0.9,0.1,56.0,0.268563,0.391976,0.0,0.277778,1.009764,
575.477,383.786,0.1,0.9,0.1,57.0,0.271596,0.465035,0.0,0.5,1.01407,
666.03,408.774,0.3,0.9,0.3,58.0,0.523534,0.779329,0.0,0.266667,1.01087,
514.064,393.68,0.3,0.9,0.3,59.0,0.490082,0.653054,0.0,0.1,1.008013,
515.227,422.346,0.3,0.9,0.3,60.0,0.505468,0.797877,0.0,0.285714,1.006046,
687.419,448.849,0.5,0.9,0.5,61.0,0.791923,1.367344,0.129032,0.290323,1.021426,
547.538,413.682,0.5,0.9,0.5,62.0,0.760419,1.096117,0.0,0.2,1.003982,
532.149,338.794,0.5,0.9,0.5,63.0,0.844578,1.529599,0.0,0.454545,1.016457,
659.854,383.777,0.9,0.9,0.9,64.0,1.195989,1.925717,0.0,0.214286,1.000125,
582.943,433.767,0.9,0.9,0.9,65.0,1.193989,1.707488,0.0,0.153846,1.014084,
734.717,473.743,0.9,0.9,0.9,66.0,1.239902,1.718206,0.0,0.2,1.000198,
641.569,438.765,1.2,0.9,1.2,67.0,1.59943,2.491018,0.0,0.272727,0.999739,
945.484,583.932,1.2,0.9,1.2,68.0,1.582478,3.71278,0.595238,0.071429,1.013897,
612.619,473.842,1.2,0.9,1.2,69.0,1.55866,2.18187,0.055556,0.166667,1.013353,
720.1,482.356,1.5,0.9,1.5,70.0,1.819828,2.519799,0.0,0.142857,1.007028,
591.396,443.766,1.5,0.9,1.5,71.0,1.823259,2.662998,0.05,0.1,1.010742,
560.811,403.872,1.5,0.9,1.5,72.0,1.797443,2.409471,0.0,0.083333,1.009969,
